 ,IMPORT REPORT,,,23-Jan,,,,,,,,
,,,,,,,,,,,,
,CONKEN 4 TRUCKS,,,,,,,,,,,
S/N,TRUCK,TRAILER,POSITION,STATUS,TYPE,RETURN,DSJ,DEPT DATE,DATE TODAY,,,
27,T112 DVL,T416 DVT,DSM,WAITING TO OFFLOAD,FLATBED,NA,NA,NA,23-Jan,,,
28,T582 DRE,T360 DNP,DSM,WAITING TO OFFLOAD,FLATBED,NA,NA,NA,23-Jan,,,
29,T586 DRE,T655 DRU,KIBAHA-TZ,ENROUTE DAR,FLATBED,NA,NA,NA,23-Jan,,,
30,T532 DRF,T891 EAK,CHALINZE-TZ,ENROUTE DAR,FLATBED,NA,NA,NA,23-Jan,,,
31,T579 DRE,T503 DQF,MOROGORO-TZ,ENROUTE DAR,FLATBED,NA,NA,NA,23-Jan,,,
32,T533 DRF,T473 DQU,MOROGORO-TZ,ENROUTE DAR,FLATBED,NA,NA,NA,23-Jan,,,
33,T486 EEQ,T736 EEM,MBEYA-TZ,ENROUTE DAR,FLATBED,NA,NA,NA,23-Jan,,,
34,T829 DNH,T549 DPB,TUNDUMA-TZ,ENROUTE DAR,FLATBED,NA,NA,NA,23-Jan,,,
35,T522 DPN,T548 DPB,NAKONDE-ZMB,ENROUTE DAR,FLATBED,NA,NA,NA,23-Jan,,,
36,T454 EAG,T893 DZS,NDOLA-ZMB,ENROUTE DAR,FLATBED,NA,NA,NA,23-Jan,,,
37,T545 EKT,T691 ELK,WHISKY-DRC,ENROUTE DAR,FLATBED,NA,NA,NA,23-Jan,,,
38,T124 DYY,T966DYY,WHISKY-DRC,ENROUTE DAR,FLATBED,NA,NA,NA,23-Jan,,,
,,,,,,,,,,,,
,RELOAD 160MT DSM-LIKASI,,,,,,,,,,,
S/N,TRUCK,TRAILER,POSITION,STATUS,TYPE,RETURN,DSJ,DEPT DATE,DATE TODAY,,,
1,T237 ELV,T619 EMF,DSM,TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
2,T241 ELV,T623EMF,DSM,TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
3,T475 EKZ,T703 ELK,DSM TAHMEED YARD,TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
4,T659 ECQ,T572 ECC,DSM,WAITING TO OFFLOAD,FLATBED,NA,30,24-Dec,23-Jan,,,
5,T653 ECQ,T563 ECC,DSM,WAITING TO OFFLOAD,FLATBED,NA,30,24-Dec,23-Jan,,,
,,,,,,,,,,,,
,BRIDGE 542MT DSM-KOLWEZI,,,,,,,,,,,
S/N,TRUCK,TRAILER,POSITION,STATUS,TYPE,RETURN,DSJ,DEPT DATE,DATE TODAY,,,
1,T663 ECQ,T579 ECC,MOROGORO-ENROUTE KCC,ENROUTE KCC,FLATBED,NA,13,10/01/2026,23-Jan,,,
2,T662 ECQ,T347 DRP,MAKAMBAKO-ENROUTE KCC,ENROUTE KCC,FLATBED,NA,13,10/01/2026,23-Jan,,,
3,T408 EAF,T883 DZS,DSM TAHMEED YARD-TO LOAD,TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
