SN,DATE ,IMPORT OR EXPORT,D.O No.,Invoice Nos,CLIENT NAME ,TRUCK No.,TRAILER No.,CONTAINER No.,BORDER ENTRY DRC,LOADING POINT,DESTINATION,HAULIER,TONNAGES ,RATE PER TON,RATE
7459,46012,EXPORT,7459,,BRIDGESHIPPING,T652 ECQ,T562ECC,FLATBED,,KPM,DSM,,32,$200 ,
7460,46013,IMPORT,7460,,POLYTRA,T752 ELY,T629 EMF,FLATBED,,DSM,TCC,,32,$255 ,
7461,46013,IMPORT,7461,,POLYTRA,T754 ELY,T631 EMF,FLATBED,,DSM,TCC,,32,$255 ,
7462,46013,IMPORT,7462,,POLYTRA,T534 EGD,T192 EFU,FLATBED,,DSM,TCC,,32,$255 ,
7463,46013,IMPORT,7463,,POLYTRA,T755 ELY,T633 EMF,FLATBED,,DSM,TCC,,32,$255 ,
7464,46013,IMPORT,7464,,POLYTRA,T524 EEQ,T704 EEM,FLATBED,,DSM,TCC,,32,$255 ,
7465,46013,IMPORT,7465,,POLYTRA,T598 EDD,T968 EDK,FLATBED,,DSM,TCC,,32,$255 ,
7466,46013,IMPORT,7466,,POLYTRA,T699 EHJ,T829 EHN,FLATBED,,DSM,TCC,,32,$255 ,
7467,46013,IMPORT,7467,,POLYTRA,T673 EAQ,T908 EAK,FLATBED,,DSM,TCC,,32,$255 ,
7468,46013,IMPORT,7468,,POLYTRA,T513 EGD,T196 EFU,FLATBED,,DSM,BMS,,32,$255 ,
7469,46013,IMPORT,7469,,POLYTRA,T758 ELY,T640 EMF,FLATBED,,DSM,BMS,,32,$255 ,
7470,46013,IMPORT,7470,,POLYTRA,T713 EET,T593 EEN,FLATBED,,DSM,BMS,,32,$255 ,
7471,46013,IMPORT,7471,,POLYTRA,T541 EKT,T688 ELK,FLATBED,,DSM,BMS,,32,$255 ,
7472,46013,IMPORT,7472,,POLYTRA,T751 ELY,T628 EMF,FLATBED,,DSM,BMS,,32,$255 ,
7473,46013,IMPORT,7473,,POLYTRA,T509 EEQ,T689 EEM,FLATBED,,DSM,BMS,,32,$255 ,
7474,46013,IMPORT,7474,,POLYTRA,T902 EEU,T583 EEN,FLATBED,,DSM,BMS,,32,$255 ,
7475,46013,IMPORT,7475,,POLYTRA,T605 EDD,T215 EDL,FLATBED,,DSM,BMS,,32,$255 ,
7476,46013,IMPORT,7476,,POLYTRA,T709 DXY,T637DWL,FLATBED,,DSM,BMS,,31,$255 ,
7477,46013,IMPORT,7477,,POLYTRA,T518 EEQ,T658 EEM,FLATBED,,DSM,BMS,,32,$255 ,
7478,46013,IMPORT,7478,,POLYTRA,T144 DZY,T569 DZE,FLATBED,,DSM,BMS,,32,$255 ,
7479,46013,IMPORT,7479,,POLYTRA,T510 EEQ,T730 EEM,FLATBED,,DSM,BMS,,32,$255 ,
7480,46013,IMPORT,7480,,BRIDGESHIPPING,T153 DZY,T545 DZE,FLATBED,,MBSA,MUTANDA-KOLWEZI,,30.316,192.5,
7481,46013,IMPORT,7481,,RELOAD,T853 EKS,T904 EKY,FLATBED,,DSM,KOLWEZI,,32,250,
7482,46013,IMPORT,7482,,RELOAD,T613 ENG,T863 EMY,FLATBED,,DSM,KOLWEZI,,33,250,
7483,46013,IMPORT,7483,,RELOAD,T215 ELV,T611 EMF,FLATBED,,DSM,KOLWEZI,,32,250,
7484,46013,IMPORT,7484,,RELOAD,T473 EKZ,T701 ELK,FLATBED,,DSM,KOLWEZI,,32,250,
7485,46013,IMPORT,7485,,RELOAD,T238 ELV,T620 EMF,FLATBED,,DSM,KOLWEZI,,32,250,
7486,46013,IMPORT,7486,,RELOAD,T671 ECQ,T588ECC,FLATBED,,DSM,KOLWEZI,,32,250,
7487,46013,IMPORT,7487,,RELOAD,T836 EKS,T884 EKY,FLATBED,,DSM,KOLWEZI,,32,250,
7488,46013,IMPORT,7488,,RELOAD,T687 ENG,T382 EMZ,FLATBED,,DSM,KOLWEZI,,33,250,
7489,46013,IMPORT,7489,,RELOAD,T603 EDD,T963 EDK,FLATBED,,DSM,KOLWEZI,,32,250,
7490,46013,IMPORT,7490,,RELOAD,T634 EAF,T904 DZS,FLATBED,,DSM,KOLWEZI,,31,250,
7491,46013,IMPORT,7491,,RELOAD,T123 DZY,T887 DZC,FLATBED,,DSM,KOLWEZI,,32,250,
7492,46013,IMPORT,7492,,RELOAD,T679 EAQ,T899 EAK,FLATBED,,DSM,KOLWEZI,,32,235,
7493,46013,IMPORT,7493,,RELOAD,T533 EEQ,T722 EEM,FLATBED,,DSM,KOLWEZI,,32,235,
7494,46013,IMPORT,7494,,RELOAD,T149 EFP,T599 EGS,FLATBED,,DSM,KOLWEZI,,32,235,
7495,46013,IMPORT,7495,,RELOAD,T594 EDD,T964 EDK,FLATBED,,DSM,KOLWEZI,,32,235,
7496,46013,IMPORT,7496,,RELOAD,T711 DXY,T402DYC,FLATBED,,DSM,KOLWEZI,,31,235,
7497,46013,IMPORT,7497,,RELOAD,T572 EAF,T917 DZS,FLATBED,,DSM,KOLWEZI,,31,235,
7498,46013,IMPORT,7498,,RELOAD,T125 DYY,T979DYY,FLATBED,,DSM,KOLWEZI,,32,235,
7499,46013,IMPORT,7499,,RELOAD,T662 ECQ,T347 DRP,FLATBED,,DSM,KOLWEZI,,32,235,
7500,46013,IMPORT,7500,,RELOAD,T663 ECQ,T579 ECC,FLATBED,,DSM,KOLWEZI,,32,235,
