Date,Truck No.,Going Do,Return Do,Start,From,To,Total Lts,Extra,MMSA Yard,Tanga Yard,Dar Yard,Dar Going,Moro Going,Mbeya Going,Tdm Going,Zambia Going,Congo Fuel,Zambia Return,Tunduma Return ,Mbeya Return,Moro Return,Dar Return,Tanga Return,Balance
,T673 EAQ,6486,6856,DAR,TCC,DAR,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T635 EAF,6487,6846,DAR,ZHANFEI,DAR,2400,100,,,-550,,,-450,,-600,,,,,,,,900
,T114 DVL,6488,6858,DAR,TCC,DAR,2400,80,,,,-120,-380,-500,,-560,,,,,,,,920
,T754 ELY,6489,6857,DAR,TCC,DAR,2400,60,,,,-120,-380,-500,,-560,,,,,,,,900
,T216 ELV,6490,6872,DAR,KAMOA ,DAR,2400,100,,,-550,,,-450,,-600,,,,,,,,900
,T762 DWK,6491,6735,DAR,MKM ,DAR,2300,80,,,-550,,,-450,,-480,-50,-450,,,,,,400
,T788 DWK,6492,6733,DAR,MKM ,DAR,2300,80,,,-550,,,-450,,-480,-100,-440,-100,-400,,,,-140
,T512 EGD,6493,6738,DAR,ZHANFEI,DAR,2300,60,,,-550,,,-450,,-460,-50,-450,,,,,,400
,T667 EAQ,6494,6739,DAR,ZHANFEI,DAR,2300,60,,,-550,,,-450,,-460,-50,-450,,,,,,400
,T595 EDD,6495,6737,DAR,ZHANFEI,DAR,2300,60,,,-550,,,-450,,-460,,-400,,,,,,500
,T790 EEU,6496,6732,DAR,MKM ,DAR,2300,60,,,-550,,,-450,,-460,,-400,,,,,,500
,T211 ELV,6497,6736,DAR,MKM ,DAR,2300,60,,,-550,,,-450,,-460,-50,-450,,,,,,400
,T142 DZY,6498,,DAR,DAR,TFM,2300,60,,,-550,,,-450,,-460,,,,,,,,900
,T540 DRF,6499,,DAR,DAR,TFM,2300,100,,,-550,,,-450,,-500,,,,,,,,900
,T686 EAQ,6500,6731,DAR,MKM ,DAR,2300,60,,,-550,,,-450,,-460,,-540,,,,,,360
,T475 EKZ,6501,6734,DAR,MKM ,DAR,2300,60,,,-550,,,-450,,-460,-50,-400,,,,,,450
16-Oct,T709 DXY,6547,,DAR,DAR,KOLWEZI,2400,100,,,,-120,-380,-500,,-600,,,,,,,,900
,T750 ELY,6548,,DAR,DAR,KOLWEZI,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T634 DNY,6549,,DAR,DAR,KOLWEZI,2400,100,,,-550,,,-450,,-600,,,,,,,,900
,T715 DXY,6550,,DAR,DAR,KOLWEZI,2400,100,,,-550,,,-450,,-600,,,,,,,,900
,T713 EET,6551,,DAR,DAR,KOLWEZI,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T204 EHE,6552,,DAR,DAR,KOLWEZI,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T408 EAF,6553,,DAR,DAR,KOLWEZI,2400,100,,,-550,,,-450,,-600,,,,,,,,900
,T166 EGJ,6554,,DAR,DAR,KOLWEZI,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T510 EEQ,6555,,DAR,DAR,KOLWEZI,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T102 EFP,6556,,DAR,DAR,KOLWEZI,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T144 DZY,6557,,DAR,DAR,KOLWEZI,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T891 EEU,6558,,DAR,DAR,KOLWEZI,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T665 ECQ,6559,,DAR,DAR,KOLWEZI,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T154 EGJ,6560,,DAR,DAR,KOLWEZI,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T714 EHJ,6561,,DAR,DAR,KOLWEZI,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T667 ECQ,6562,,DAR,DAR,KOLWEZI,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T586 DRE,6563,,DAR,DAR,KOLWEZI,2400,100,,,-550,,,-450,,-600,,,,,,,,900
,T885 EEU,6564,,DAR,DAR,KOLWEZI,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T214 ELV,6565,,DAR,DAR,KOLWEZI,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T536 EEQ,6566,,DAR,DAR,KOLWEZI,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T602 EAG,6567,,DAR,DAR,KOLWEZI,2400,100,,,-550,,,-450,,-600,,,,,,,,900
,T730 EET,6568,,DAR,DAR,KOLWEZI,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T655 ECQ,6569,,DAR,DAR,KOLWEZI,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T139 EFP,6570,,DAR,DAR,KOLWEZI,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T996 EFN,6571,,DAR,DAR,KOLWEZI,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T609 EDD,6572,,DAR,DAR,KOLWEZI,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T710 DXY,6573,,DAR,DAR,KOLWEZI,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T156 EGJ,6574,,DAR,DAR,KOLWEZI,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T471 EDD,6575,,DAR,DAR,KOLWEZI,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T636 EAF,6576,,DAR,DAR,KOLWEZI,2400,100,,,-550,,,-450,,-600,,,,,,,,900
,T556 EKT,6577,,DAR,DAR,KOLWEZI,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T542 EKT,6578,,DAR,DAR,KOLWEZI,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T853 EKS,6579,,DAR,DAR,KOLWEZI,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T902 EEU,6580,,DAR,DAR,KOLWEZI,2430,50,,,-550,,,-480,,-560,,,,,,,,890
,T857 EKS,6581,,DAR,DAR,KOLWEZI,2400,50,,,,-120,-380,-500,,-560,,,,,,,,890
,T756 ELY,6582,,DAR,DAR,KOLWEZI,2400,50,,,,-120,-380,-500,,-560,,,,,,,,890
,T518 EEQ,6583,,DAR,DAR,KOLWEZI,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T509 EEQ,6584,,DAR,DAR,KOLWEZI,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T842 EKS,6585,,DAR,DAR,KOLWEZI,2400,50,,,-550,,,-450,,-560,,,,,,,,890
,T662 ECQ,6586,,DAR,DAR,KOLWEZI,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T608 EDD,6587,,DAR,DAR,KOLWEZI,2400,50,,,-550,,,-450,,-560,,,,,,,,890
,T642 EAF,6588,,DAR,DAR,KOLWEZI,2400,50,,,-550,,,-450,,-550,,,,,,,,900
21-Oct,T596 EDD,6589,,DAR,DAR,Lusaka,1900,30,,,-550,,,-450,,-60,,,,,,,,870
,T661 ECQ,6590,,DAR,DAR,Lusaka,1900,50,,,-550,,,-450,,-60,,,,,,,,890
,T455 EAG,6591,,DAR,DAR,Lusaka,1900,30,,,-550,,,-450,,-60,,,,,,,,870
,T671 ECQ,6592,,DAR,DAR,Lusaka,1900,30,,,-550,,,-450,,-60,,,,,,,,870
,T834 DYX,6593,,DAR,DAR,Lusaka,1900,30,,,,,,,,,,,,,,,,1930
,T670 ECQ,6594,,DAR,DAR,Lusaka,1900,30,,,-550,,,-450,,-60,,,,,,,,870
,T640 EAF,6595,,DAR,DAR,Lusaka,1900,50,,,,,,,,,,,,,,,,1950
,T522 DRF,6596,,DAR,DAR,Lusaka,1900,50,,,-550,,,-450,,-60,,,,,,,,890
,T597 DTB,6597,,DAR,DAR,Lusaka,1900,50,,,-550,,,-450,,,,-130,,,,,,820
,T653 EAR,6598,,DAR,DAR,Lusaka,1900,50,,,,,,,,,,,,,,,,1950
,T758 ELY,6599,,DAR,DAR,Lubumbashi,2100,60,,,,,,,,,,-260,,,,,,1900
,T513 EGD,6600,,DAR,DAR,Lubumbashi,2100,60,,,-550,,,-450,,-260,,,,,,,,900
,T970 DNW,6601,,DAR,DAR,Lubumbashi,2100,100,,,-550,,,-450,,-300,,,,,,,,900
27-Oct,T836 EKS,6686,,DAR,DAR,TFM,2300,60,,,-550,,,-450,,-460,,,,,,,,900
,T751 ELY,6687,,DAR,DAR,TFM,2300,60,,,-550,,,-450,,-460,,,,,,,,900
,T633 EAF,6688,,DAR,DAR,TFM,2300,100,,,-550,,,-450,,-500,,,,,,,,900
,T159 EGJ,6690,,DAR,DAR,TFM,2300,60,,,-550,,,-450,,-460,,,,,,,,900
,T839 DNH,6689,,DAR,DAR,TFM,2300,100,,,-550,,,-450,,-500,,,,,,,,900
,T605 EDD,6691,,DAR,DAR,TFM,2300,60,,,-550,,,-450,,-460,,,,,,,,900
,T147 DZY,6692,,DAR,DAR,TFM,2300,60,,,-550,,,-450,,-460,,,,,,,,900
,T854 EKS,6693,,DAR,DAR,TFM,2300,60,,,-550,,,-450,,-460,,,,,,,,900
,T458 EAG,6694,,DAR,DAR,TFM,2300,60,,,-550,,,-450,,,,,,,,,,1360
,T125 DYY,6695,6864,DAR,TCC,DAR,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T700 DXY,6696,,DAR,DAR,Commus,2400,100,,,-550,,,-450,,-600,,,,,,,,900
,T242 ELV,6697,,DAR,DAR,Commus,2400,60,,,-550,,,-450,,-560,,,,,,,,900
,T702 DXY,6698,,DAR,DAR,Commus,2400,100,,,,,-85,,,,,,,,,,,2415
