S/No.,Date,LPO No.,Diesel @,DO/SDO,Truck No.,Ltrs,Price per Ltr,Destinations
648,11-Nov,2283,INFINITY,6287,T654 ECQ,400,2757,DAR
649,11-Nov,2283,INFINITY,6421,T219 ELV,400,2757,MSA
650,11-Nov,2283,INFINITY,6420,T213 ELV,400,2757,MSA
651,11-Nov,2283,INFINITY,6614,T525 DPN,310,2757,DAR
652,11-Nov,2283,INFINITY,6631,T717 EHJ,400,2757,DAR
653,11-Nov,2283,INFINITY,6629,T470 EKZ,400,2757,DAR
654,11-Nov,2283,INFINITY,6630,T845 EKS,400,2757,DAR
655,11-Nov,2283,INFINITY,6288,T239 ELV,400,2757,DAR
656,11-Nov,2284,GBP MOROGORO,6421,T219 ELV,100,2710,MSA
657,11-Nov,2284,GBP MOROGORO,6420,T213 ELV,100,2710,MSA
658,11-Nov,2285,GBP KANGE,6421,T219 ELV,70,2730,MSA
659,11-Nov,2285,GBP KANGE,6420,T213 ELV,70,2730,MSA
660,11-Nov,2286,CASH,NIL,T709 EET,120,2704,NIL
661,11-Nov,2286,CASH,NIL,T717 EET,120,2704,NIL
662,11-Nov,2286,CASH,NIL,T604 EDD,120,2704,NIL
663,11-Nov,2287,LAKE NDOLA ,6760,T715 EET,50,1.2,MSA 
664,11-Nov,2287,LAKE NDOLA ,6765,T502 EEQ,50,1.2,MSA 
665,11-Nov,2287,LAKE NDOLA ,6732,T790 EEU,50,1.2,DAR
666,11-Nov,2288,LAKE KAPIRI,6760,T715 EET,350,1.2,MSA 
667,11-Nov,2288,LAKE KAPIRI,6765,T502 EEQ,350,1.2,MSA 
668,11-Nov,2288,LAKE KAPIRI,6732,T790 EEU,350,1.2,DAR
669,11-Nov,2289,LAKE CHILABOMBWE,6677,T840 DNH,40,1.2,DAR
670,11-Nov,2290,CASH,NIL,T653 DRE,120,2704,NIL
671,11-Nov,2290,CASH,NIL,T807 EEU,150,2704,NIL
672,11-Nov,2290,CASH,NIL,T546 DRF,150,2704,NIL
673,11-Nov,2291,LAKE KAPIRI,6711,T720 EET,260,1.2,LUBUMBASHI
674,11-Nov,2291,LAKE KAPIRI,6777,T149 EFP,560,1.2,KOLWEZI
675,11-Nov,2291,LAKE KAPIRI,6574,T156 EGJ,560,1.2,KOLWEZI
676,11-Nov,2291,LAKE KAPIRI,6779,T533 EEQ,560,1.2,KOLWEZI
677,11-Nov,2291,LAKE KAPIRI,6794,T461 EAG,560,1.2,KOLWEZI
678,11-Nov,2291,LAKE KAPIRI,6793,T849 EKS,560,1.2,KOLWEZI
679,11-Nov,2291,LAKE KAPIRI,6816,T614 ENG,260,1.2,LUBUMBASHI
680,11-Nov,2291,LAKE KAPIRI,6712,T712 DXY,300,1.2,LUBUMBASHI
681,11-Nov,2291,LAKE KAPIRI,6700,T243 ELV,560,1.2,COMMUS
682,11-Nov,2291,LAKE KAPIRI,6549,T634 DNY,600,1.2,KOLWEZI
683,11-Nov,2291,LAKE KAPIRI,6689,T839 DNH,500,1.2,TFM
684,11-Nov,2291,LAKE KAPIRI,6563,T586 DRE,600,1.2,KOLWEZI
685,11-Nov,2291,LAKE KAPIRI,Cancelled,T679 EAQ,560,1.2,KOLWEZI
686,11-Nov,2292,CASH,NIL,T103 DVL,70,2729,NIL
687,12-Nov,2293,GBP MOROGORO,6740,T543 EKT,100,2710,MSA
688,12-Nov,2293,GBP MOROGORO,6436,T458 EKZ,100,2710,MSA
689,12-Nov,2293,GBP MOROGORO,6747,T468 EKZ,100,2710,MSA
690,12-Nov,2293,GBP MOROGORO,6423,T198 EHE,100,2710,MSA
691,12-Nov,2294,GBP KANGE ,6740,T543 EKT,70,2710,MSA
692,12-Nov,2294,GBP KANGE ,6436,T458 EKZ,70,2710,MSA
693,12-Nov,2294,GBP KANGE ,6747,T468 EKZ,70,2710,MSA
694,12-Nov,2294,GBP KANGE ,6423,T198 EHE,70,2710,MSA
695,12-Nov,2295,INFINITY,6806,T859 EKS,450,2757,TFM
696,12-Nov,2295,INFINITY,6801,T684 ENG,450,2757,TFM
697,12-Nov,2295,INFINITY,6798,T603 EDD,450,2757,TFM
698,12-Nov,2295,INFINITY,6807,T585 DRE,450,2757,TFM
699,12-Nov,2295,INFINITY,6872,T216 ELV,450,2757,KOLWEZI
700,12-Nov,2296,LAKE KAPIRI,6701,T236 ELV,560,1.2,COMMUS
701,12-Nov,2296,LAKE KAPIRI,6703,T565 EAF,600,1.2,COMMUS
702,12-Nov,2296,LAKE KAPIRI,6702,T663 ECQ,560,1.2,COMMUS
703,12-Nov,2297,CASH,NIL,T167 EGJ,350,2940.6,NIL
704,12-Nov,2297,CASH,NIL,T137 DZY,350,2940.6,NIL
705,12-Nov,2297,CASH,NIL,T770 DWK,350,2940.6,NIL
706,12-Nov,2297,CASH,NIL,T595 DTB,350,2940.6,NIL
707,12-Nov,2297,CASH,NIL,T772 DWK,350,2940.6,NIL
708,12-Nov,2297,CASH,NIL,T132 DZY,350,2940.6,NIL
709,12-Nov,2297,CASH,NIL,T656 ECQ,350,2940.6,NIL
710,12-Nov,2297,CASH,NIL,T854 EKS,460,2940.6,NIL
711,12-Nov,2297,CASH,NIL,T459 EAG,350,2940.6,NIL
712,12-Nov,2298,INFINITY,6376,T530 DRF,180,2757,DAR
713,12-Nov,2299,INFINITY,6376,T530 DRF,100,2757,DAR
714,12-Nov,2300,LAKE KAPIRI,6706,T697 DXY,600,1.2,COMMUS
715,12-Nov,2300,LAKE KAPIRI,6555,T510 EEQ,560,1.2,KOLWEZI
716,12-Nov,2301,LAKE KAPIRI,6552,T204 EHE,560,1.2,KOLWEZI
717,12-Nov,2302,INFINITY,NIL,T530 DRF,120,2757,NIL
718,12-Nov,2303,INFINITY,6810,T776 DWK,20,2757,KOLWEZI
719,12-Nov,2304,LAKE CHILABOMBWE,6660,T844 EKS,20,1.2,dar
720,12-Nov,2304,LAKE CHILABOMBWE,6664,T168 EGJ,20,1.2,dar
721,12-Nov,2304,LAKE CHILABOMBWE,6661,T141 EFP,20,1.2,dar
722,12-Nov,2304,LAKE CHILABOMBWE,6657,T432 EAF,20,1.2,dar
723,12-Nov,2304,LAKE CHILABOMBWE,6658,T811 EEU,20,1.2,dar
724,12-Nov,2304,LAKE CHILABOMBWE,6659,T487 EEQ,20,1.2,dar
725,12-Nov,2304,LAKE CHILABOMBWE,6656,T532 EGD,20,1.2,dar
726,12-Nov,2304,LAKE CHILABOMBWE,6663,T860 EKS,20,1.2,dar
727,12-Nov,2304,LAKE CHILABOMBWE,6662,T207 EHE,20,1.2,dar
728,12-Nov,2305,CASH,NIL ,T486 EEQ ,20,2744,NIL
729,12-Nov,2306,CASH,NIL ,T103 DVL,20,2704,NIL
730,12-Nov,2307,GBP MOROGORO,6874,T653 DRE,380,2710,KOLWEZI
731,12-Nov,2307,GBP MOROGORO,6873,T709 EET,380,2710,KOLWEZI
732,12-Nov,2307,GBP MOROGORO,6875,T717 EET,380,2710,KOLWEZI
733,13-Nov,2308,GBP MOROGORO,6698,T702 DXY,85,2710,COMMUS
734,13-Nov,2309,INFINITY,6874,T653 DRE,500,2757,KOLWEZI
735,13-Nov,2309,INFINITY,6873,T709 EET,500,2757,KOLWEZI
736,13-Nov,2309,INFINITY,6875,T717 EET,500,2757,KOLWEZI
737,13-Nov,2309,INFINITY,6573,T710 DXY,450,2757,KOLWEZI
738,13-Nov,2309,INFINITY,6891,T807 EEU,450,2757,KOLWEZI
739,13-Nov,2309,INFINITY,6896,T546 DRE,450,2757,KOLWEZI
740,13-Nov,2310,GBP MOROGORO,6891,T807 EEU,430,2710,KOLWEZI
741,13-Nov,2310,GBP MOROGORO,6896,T546 DRE,430,2710,KOLWEZI
742,13-Nov,2311,CASH,NIL,T554 DRE ,60,2729,NIL
743,13-Nov,2312,LAKE TUNDUMA,6618,T167 EGJ,100,2875,DAR
744,13-Nov,2312,LAKE TUNDUMA,6673,T132 DZY,100,2875,DAR
745,13-Nov,2312,LAKE TUNDUMA,6729,T601 EDD,100,2875,DAR
746,13-Nov,2312,LAKE TUNDUMA,6616,T151 EFP,100,2875,DAR
747,13-Nov,2312,LAKE TUNDUMA,6835,T167 DZY,100,2875,DAR
748,13-Nov,2312,LAKE TUNDUMA,6675,T459 EAG,100,2875,DAR
749,13-Nov,2312,LAKE TUNDUMA,6681,T137 DZY,100,2875,DAR
750,13-Nov,2312,LAKE TUNDUMA,6676,T595 DTB,100,2875,DAR
751,13-Nov,2312,LAKE TUNDUMA,6680,T575 EAF,100,2875,DAR
752,13-Nov,2312,LAKE TUNDUMA,6772,T538 EKT,100,2875,DAR
753,13-Nov,2312,LAKE TUNDUMA,6773,T676 EAQ,100,2875,DAR
754,13-Nov,2312,LAKE TUNDUMA,6730,T797 EEU,100,2875,DAR
755,13-Nov,2312,LAKE TUNDUMA,6682,T462 EAG,100,2875,DAR
756,13-Nov,2312,LAKE TUNDUMA,6511,T767 DWK,100,2875,DAR
757,13-Nov,2312,LAKE TUNDUMA,6679,T698 DXY,100,2875,DAR
758,13-Nov,2312,LAKE TUNDUMA,6668,T599 EDD,100,2875,DAR
759,13-Nov,2312,LAKE TUNDUMA,6774,T218 EHE,100,2875,DAR
760,13-Nov,2312,LAKE TUNDUMA,6544,T852 EKS,100,2875,DAR
761,13-Nov,2312,LAKE TUNDUMA,6642,T764 DNH,100,2875,DAR
762,13-Nov,2313,INFINITY,6618,T167 EGJ,400,2757,DAR
763,13-Nov,2313,INFINITY,6673,T132 DZY,400,2757,DAR
764,13-Nov,2313,INFINITY,6729,T601 EDD,400,2757,DAR
765,13-Nov,2313,INFINITY,6616,T151 EFP,400,2757,DAR
766,13-Nov,2313,INFINITY,6835,T167 DZY,400,2757,DAR
767,13-Nov,2313,INFINITY,6675,T459 EAG,400,2757,DAR
768,13-Nov,2313,INFINITY,6681,T137 DZY,400,2757,DAR
769,13-Nov,2313,INFINITY,6676,T595 DTB,400,2757,DAR
770,13-Nov,2313,INFINITY,6680,T575 EAF,400,2757,DAR
771,13-Nov,2313,INFINITY,6772,T538 EKT,300,2757,DAR
772,13-Nov,2313,INFINITY,6773,T676 EAQ,300,2757,DAR
773,13-Nov,2313,INFINITY,6730,T797 EEU,400,2757,DAR
774,13-Nov,2313,INFINITY,6682,T462 EAG,400,2757,DAR
775,13-Nov,2313,INFINITY,6511,T767 DWK,400,2757,DAR
776,13-Nov,2313,INFINITY,6679,T698 DXY,400,2757,DAR
777,13-Nov,2313,INFINITY,6668,T599 EDD,400,2757,DAR
778,13-Nov,2313,INFINITY,6774,T218 EHE,400,2757,DAR
779,13-Nov,2313,INFINITY,6544,T852 EKS,400,2757,DAR
780,13-Nov,2313,INFINITY,6642,T764 DNH,400,2757,DAR
781,13-Nov,2314,CASH,NIL,T533 EGD ,40,2719,NIL
782,13-Nov,2315,GBP MOROGORO,6752,T708 DXY,100,2710,MSA
783,13-Nov,2315,GBP MOROGORO,6744,T841 EKS,100,2710,MSA
784,13-Nov,2315,GBP MOROGORO,6745,T241 ELV,100,2710,MSA
785,13-Nov,2315,GBP MOROGORO,6741,T201 EHE,100,2710,MSA
786,13-Nov,2315,GBP MOROGORO,6742,T213 EHE,100,2710,MSA
787,13-Nov,2315,GBP MOROGORO,6746,T577 EAF,100,2710,MSA
788,13-Nov,2315,GBP MOROGORO,6422,T653 ECQ,100,2710,MSA
789,13-Nov,2315,GBP MOROGORO,6759,T978 DVK,100,2710,MSA
790,13-Nov,2315,GBP MOROGORO,6753,T991 EFN,100,2710,MSA
791,13-Nov,2315,GBP MOROGORO,6748,T986 EFN,100,2710,MSA
792,13-Nov,2315,GBP MOROGORO,6757,T779 DWK,100,2710,MSA
793,13-Nov,2316,GBP KANGE,6752,T708 DXY,70,2730,MSA
794,13-Nov,2316,GBP KANGE,6744,T841 EKS,70,2730,MSA
795,13-Nov,2316,GBP KANGE,6745,T241 ELV,70,2730,MSA
796,13-Nov,2316,GBP KANGE,6741,T201 EHE,70,2730,MSA
797,13-Nov,2316,GBP KANGE,6742,T213 EHE,70,2730,MSA
798,13-Nov,2316,GBP KANGE,6746,T577 EAF,70,2730,MSA
799,13-Nov,2316,GBP KANGE,6422,T653 ECQ,70,2730,MSA
800,13-Nov,2316,GBP KANGE,6759,T978 DVK,70,2730,MSA
801,13-Nov,2316,GBP KANGE,6753,T991 EFN,70,2730,MSA
802,13-Nov,2316,GBP KANGE,6748,T986 EFN,70,2730,MSA
803,13-Nov,2316,GBP KANGE,6757,T779 DWK,70,2730,MSA
804,13-Nov,2317,LAKE NDOLA ,6737,T595 EDD,50,1.2,DAR
805,13-Nov,2317,LAKE NDOLA ,6841,T881 EEU,50,1.2,DAR
806,13-Nov,2317,LAKE NDOLA ,6840,T732 EET,50,1.2,DAR
807,13-Nov,2317,LAKE NDOLA ,6761,T638 EAF,50,1.2,MSA
808,13-Nov,2317,LAKE NDOLA ,6767,T150 DZY,50,1.2,MSA
809,13-Nov,2317,LAKE NDOLA ,6739,T667 EAQ,50,1.2,DAR
810,13-Nov,2317,LAKE NDOLA ,6738,T512 EGD,50,1.2,DAR
811,13-Nov,2318,GBP MOROGORO,Cancelled,T983 DVK,80,2710,KOLWEZI
812,13-Nov,2318,GBP MOROGORO,Cancelled,T765 DWK,24,2710,KOLWEZI
813,13-Nov,2319,LAKE NDOLA ,6743,T217 EHE,50,1.2,MSA
814,13-Nov,2320,LAKE KAPIRI,6737,T595 EDD,350,1.2,DAR
815,13-Nov,2320,LAKE KAPIRI,6841,T881 EEU,350,1.2,DAR
816,13-Nov,2320,LAKE KAPIRI,6840,T732 EET,350,1.2,DAR
817,13-Nov,2320,LAKE KAPIRI,6761,T638 EAF,350,1.2,MSA
818,13-Nov,2320,LAKE KAPIRI,6767,T150 DZY,350,1.2,MSA
819,13-Nov,2320,LAKE KAPIRI,6739,T667 EAQ,350,1.2,DAR
820,13-Nov,2320,LAKE KAPIRI,Cancelled,T217 EHE,350,1.2,MSA
821,13-Nov,2320,LAKE KAPIRI,6738,T512 EGD,350,1.2,DAR
822,13-Nov,2321,LAKE CHILABOMBWE,6731,T686 EAQ,100,1.2,DAR
823,13-Nov,2322,LAKE TUNDUMA,6644,T772 DWK,100,2875,DAR
824,13-Nov,2323,INFINITY,6644,T772 DWK,400,2757,DAR
825,13-Nov,2324,LAKE CHINGOLA,Cancelled,T696 DXY,40,1.2,DAR
826,14-Nov,2325,INFINITY,6564,T885 EEU,450,2757,KOLWEZI
827,14-Nov,2325,INFINITY,6780,T726 EET,450,2757,KOLWEZI
828,14-Nov,2326,LAKE TUNDUMA,6643,T770 DWK,100,2875,DAR
829,14-Nov,2326,LAKE TUNDUMA,6646,T656 ECQ,100,2875,DAR
830,14-Nov,2327,INFINITY,6643,T770 DWK,400,2757,DAR
831,14-Nov,2327,INFINITY,6646,T656 ECQ,400,2757,DAR
832,14-Nov,2328,LAKE KAPIRI,6800,T634 EAF,500,1.2,TFM
833,14-Nov,2328,LAKE KAPIRI,6808,T473 EKZ,460,1.2,TFM
834,14-Nov,2328,LAKE KAPIRI,6782,T126 EFP,560,1.2,KOLWEZI
835,14-Nov,2328,LAKE KAPIRI,6776,T160 EGJ,560,1.2,KOLWEZI
836,14-Nov,2328,LAKE KAPIRI,6789,T711 DXY,600,1.2,KOLWEZI
837,14-Nov,2328,LAKE KAPIRI,6778,T759 ELY,560,1.2,KOLWEZI
838,14-Nov,2328,LAKE KAPIRI,6809,T687 ENG,460,1.2,TFM
839,14-Nov,2328,LAKE KAPIRI,6815,T681 ENG,260,1.2,LUBUMBASHI
840,14-Nov,2328,LAKE KAPIRI,6803,T613 ENG,460,1.2,TFM
841,14-Nov,2328,LAKE KAPIRI,6810,T776 DWK,560,1.2,KOLWEZI
842,14-Nov,2328,LAKE KAPIRI,6567,T602 EAG,600,1.2,KOLWEZI
843,14-Nov,2328,LAKE KAPIRI,6594,T670 ECQ,60,1.2,LUSAKA
843,14-Nov,2328,LAKE KAPIRI,6807,T585 DRE,460,1.2,TFM
845,14-Nov,2328,LAKE TUNDUMA,6621,T780 DWK,100,2875,dar
846,14-Nov,2328,LAKE TUNDUMA,6733,T788 DWK,100,2875,dar
847,14-Nov,2328,LAKE TUNDUMA,6671,T456 EAG,100,2875,dar
848,14-Nov,2328,LAKE TUNDUMA,6669,T894 EEU,100,2875,dar
849,14-Nov,2328,LAKE TUNDUMA,6678,T554 DPN,100,2875,dar
850,14-Nov,2328,LAKE TUNDUMA,6674,T713 DXY,100,2875,dar
851,14-Nov,2328,LAKE TUNDUMA,6545,T112 DVL,100,2875,dar
852,14-Nov,2328,LAKE TUNDUMA,6672,T652 ECQ,100,2875,dar
853,14-Nov,2328,INFINITY,6621,T780 DWK,400,2757,dar
854,14-Nov,2328,INFINITY,6733,T788 DWK,400,2757,dar
855,14-Nov,2328,INFINITY,6671,T456 EAG,400,2757,dar
856,14-Nov,2328,INFINITY,6669,T894 EEU,400,2757,dar
857,14-Nov,2328,INFINITY,6678,T554 DPN,400,2757,dar
858,14-Nov,2328,INFINITY,6674,T713 DXY,400,2757,dar
859,14-Nov,2328,INFINITY,6545,T112 DVL,400,2757,dar
860,14-Nov,2328,INFINITY,6672,T652 ECQ,400,2757,dar
861,14-Nov,2329,LAKE KAPIRI,6807,T585 DRE,460,1.2,TFM
862,14-Nov,2330,LAKE TUNDUMA,6621,T780 DWK,100,2875,dar
863,14-Nov,2330,LAKE TUNDUMA,6733,T788 DWK,100,2875,dar
864,14-Nov,2330,LAKE TUNDUMA,6671,T456 EAG,100,2875,dar
865,14-Nov,2330,LAKE TUNDUMA,6669,T894 EEU,100,2875,dar
866,14-Nov,2330,LAKE TUNDUMA,6678,T554 DPN,100,2875,dar
867,14-Nov,2330,LAKE TUNDUMA,6674,T713 DXY,100,2875,dar
868,14-Nov,2330,LAKE TUNDUMA,6545,T112 DVL,100,2875,dar
869,14-Nov,2330,LAKE TUNDUMA,6672,T652 ECQ,100,2875,dar
870,14-Nov,2331,INFINITY,6621,T780 DWK,400,2757,dar
871,14-Nov,2331,INFINITY,6733,T788 DWK,400,2757,dar
872,14-Nov,2331,INFINITY,6671,T456 EAG,400,2757,dar
873,14-Nov,2331,INFINITY,6669,T894 EEU,400,2757,dar
874,14-Nov,2331,INFINITY,6678,T554 DPN,400,2757,dar
875,14-Nov,2331,INFINITY,6674,T713 DXY,400,2757,dar
876,14-Nov,2331,INFINITY,6545,T112 DVL,400,2757,dar
877,14-Nov,2331,INFINITY,6672,T652 ECQ,400,2757,dar
878,14-Nov,2332,LAKE NDOLA ,6650,T837 EKS,50,1.2,DAR
879,14-Nov,2332,LAKE NDOLA ,6651,T607 EDD,50,1.2,DAR
880,14-Nov,2332,LAKE NDOLA ,6653,T831 DNH,50,1.2,DAR
881,14-Nov,2332,LAKE NDOLA ,Cancelled,T762 DWK,50,1.2,DAR
882,14-Nov,2332,LAKE NDOLA ,6736,T211 ELV,50,1.2,DAR
883,14-Nov,2332,LAKE NDOLA ,Cancelled,T475 EKZ,50,1.2,DAR
884,14-Nov,2332,LAKE NDOLA ,6764,T542 DRF,50,1.2,MSA
885,14-Nov,2332,LAKE NDOLA ,6769,T587 DTB,50,1.2,MSA
886,14-Nov,2333,LAKE KAPIRI,6650,T837 EKS,350,1.2,DAR
887,14-Nov,2333,LAKE KAPIRI,6651,T607 EDD,350,1.2,DAR
888,14-Nov,2333,LAKE KAPIRI,6653,T831 DNH,350,1.2,DAR
889,14-Nov,2333,LAKE KAPIRI,Cancelled,T762 DWK,350,1.2,DAR
890,14-Nov,2333,LAKE KAPIRI,6736,T211 ELV,350,1.2,DAR
891,14-Nov,2333,LAKE KAPIRI,Cancelled,T475 EKZ,350,1.2,DAR
892,14-Nov,2333,LAKE KAPIRI,6764,T542 DRF,350,1.2,MSA
893,14-Nov,2333,LAKE KAPIRI,6769,T587 DTB,350,1.2,MSA
894,14-Nov,2334,LAKE TUNDUMA,6622,T524 DRF,100,2875,DAR
895,14-Nov,2335,INFINITY,6622,T524 DRF,400,2757,DAR
896,14-Nov,2336,CASH,NIL,T166 DZY,350,2940.6,NIL
897,14-Nov,2336,CASH,NIL,T984 DVK,350,2940.6,NIL
898,14-Nov,2336,CASH,NIL,T782 DWK,350,2940.6,NIL
899,14-Nov,2336,CASH,NIL,T207 EHE,350,2940.6,NIL
900,14-Nov,2336,CASH,NIL,T860 EKS,350,2940.6,NIL
901,14-Nov,2336,CASH,NIL,T137 EFP,350,2940.6,NIL
902,14-Nov,2336,CASH,NIL,T582 DRE,560,2940.6,NIL
903,14-Nov,2336,CASH,NIL,T432 EAF,350,2940.6,NIL
904,14-Nov,2336,CASH,NIL,T536 EEQ,560,2940.6,NIL
905,14-Nov,2336,CASH,NIL,T844 EKS,350,2940.6,NIL
906,14-Nov,2336,CASH,NIL,T532 EGD,350,2940.6,NIL
907,14-Nov,2336,CASH,NIL,T487 EEQ,350,2940.6,NIL
908,14-Nov,2336,CASH,NIL,T660 EEQ,350,2940.6,NIL
909,14-Nov,2336,CASH,NIL,T587 DRE,350,2940.6,NIL
910,14-Nov,2336,CASH,NIL,T811 EEU,350,2940.6,NIL
911,14-Nov,2336,CASH,NIL,T851 EKS,350,2940.6,NIL
912,14-Nov,2336,CASH,NIL,T168 EGJ,350,2940.6,NIL
913,14-Nov,2336,CASH,NIL,T655 ECQ,560,2940.6,NIL
914,14-Nov,2336,CASH,NIL,T840 DNH,60,2940.6,NIL
915,14-Nov,2336,CASH,NIL,T 707 DXY,350,2940.6,NIL
916,14-Nov,2336,CASH,NIL,T 146 EFP,350,2940.6,NIL
917,14-Nov,2336,CASH,NIL,T 167 DZY,350,2940.6,NIL
918,14-Nov,2336,CASH,NIL,T 535 EGD,350,2940.6,NIL
919,14-Nov,2336,CASH,NIL,T 696 DXY,40,2940.6,NIL
920,14-Nov,2337,GBP MOROGORO,6723,T604 EDD,430,2710,TFM
921,14-Nov,2338,LAKE TUNDUMA,6408,T774 DWK,100,2875,DAR
922,14-Nov,2339,INFINITY,6408,T774 DWK,400,2757,DAR
923,14-Nov,2340,INFINITY,6723,T604 EDD,450,2757,KOLWEZI
924,14-Nov,2340,INFINITY,6550,T715 DXY,450,2757,KOLWEZI
925,14-Nov,2340,INFINITY,6783,T160 DZY,450,2757,KOLWEZI
926,14-Nov,2340,INFINITY,6787,T585 DTB,450,2757,KOLWEZI
927,14-Nov,2340,INFINITY,6784,T843 DNH,450,2757,KOLWEZI
928,14-Nov,2341,LAKE TUNDUMA,6657,T432 EAF,100,2875,DAR
929,14-Nov,2341,LAKE TUNDUMA,6662,T207 EHE,100,2875,DAR
930,14-Nov,2341,LAKE TUNDUMA,6645,T166 DZY,100,2875,DAR
931,14-Nov,2341,LAKE TUNDUMA,6822,T587 DRE,100,2875,DAR
932,14-Nov,2341,LAKE TUNDUMA,6656,T532 EGD,100,2875,DAR
933,14-Nov,2341,LAKE TUNDUMA,6771,T831 EKS,100,2875,DAR
934,14-Nov,2341,LAKE TUNDUMA,6619,T768 DWK,100,2875,DAR
935,14-Nov,2341,LAKE TUNDUMA,6670,T660 EAQ,100,2875,DAR
936,14-Nov,2341,LAKE TUNDUMA,6659,T487 EEQ,100,2875,DAR
937,14-Nov,2341,LAKE TUNDUMA,6663,T860 EKS,100,2875,DAR
938,14-Nov,2341,LAKE TUNDUMA,6658,T811 EEU,100,2875,DAR
939,14-Nov,2341,LAKE TUNDUMA,6664,T168 EGJ,100,2875,DAR
940,14-Nov,2341,LAKE TUNDUMA,6820,T851 EKS,100,2875,DAR
941,14-Nov,2341,LAKE TUNDUMA,6817,T782 DWK,100,2875,DAR
942,14-Nov,2341,LAKE TUNDUMA,6660,T844 EKS,100,2875,DAR
943,14-Nov,2342,INFINITY,6657,T432 EAF,400,2757,DAR
944,14-Nov,2342,INFINITY,6662,T207 EHE,400,2757,DAR
945,14-Nov,2342,INFINITY,6645,T166 DZY,400,2757,DAR
946,14-Nov,2342,INFINITY,6822,T587 DRE,300,2757,DAR
947,14-Nov,2342,INFINITY,6656,T532 EGD,400,2757,DAR
948,14-Nov,2342,INFINITY,6771,T831 EKS,400,2757,DAR
949,14-Nov,2342,INFINITY,6619,T768 DWK,400,2757,DAR
950,14-Nov,2342,INFINITY,6670,T660 EAQ,400,2757,DAR
951,14-Nov,2342,INFINITY,6659,T487 EEQ,400,2757,DAR
952,14-Nov,2342,INFINITY,6663,T860 EKS,400,2757,DAR
953,14-Nov,2342,INFINITY,6658,T811 EEU,400,2757,DAR
954,14-Nov,2342,INFINITY,6664,T168 EGJ,400,2757,DAR
955,14-Nov,2342,INFINITY,6820,T851 EKS,400,2757,DAR
956,14-Nov,2342,INFINITY,6817,T782 DWK,350,2757,DAR
957,14-Nov,2342,INFINITY,6660,T844 EKS,400,2757,DAR
958,14-Nov,2343,LAKE KAPIRI,6795,T215 ELV,460,1.2,TFM
959,14-Nov,2343,LAKE KAPIRI,6798,T603 EDD,460,1.2,TFM
960,14-Nov,2343,LAKE KAPIRI,6490,T216 ELV,600,1.2,KOLWEZI
961,14-Nov,2344,LAKE NDOLA ,6750,T513 EEF,50,1.2,MSA
962,14-Nov,2344,LAKE NDOLA ,6843,T164 DZY,50,1.2,DAR
963,14-Nov,2344,LAKE NDOLA ,6825,T579 DRE,50,1.2,DAR
964,14-Nov,2345,LAKE KAPIRI,6750,T513 EEF,350,1.2,MSA
965,14-Nov,2345,LAKE KAPIRI,6843,T164 DZY,350,1.2,DAR
966,14-Nov,2345,LAKE KAPIRI,6825,T579 DRE,350,1.2,DAR
967,16-Nov,2346,INFINITY,6911,T704 DXY,450,2757,KOLWEZI
968,16-Nov,2347,INFINITY,6786,T983 DVK,40,2757,KOLWEZI
969,16-Nov,2347,INFINITY,6788,T765 DWK,24,2757,KOLWEZI
970,16-Nov,2347,INFINITY,6819,T984 DVK,400,2757,DAR
971,16-Nov,2348,LAKE TUNDUMA,6819,T984 DVK,100,2875,DAR
972,16-Nov,2349,LAKE CHILABOMBWE,Cancelled,T667 EAQ,50,1.2,DAR
973,16-Nov,2349,LAKE CHILABOMBWE,Cancelled,T512 EGD,50,1.2,DAR
974,17-Nov,2350,INFINITY,6475,T580 DPN ,450,2757,kolwezi
975,17-Nov,2350,INFINITY,6463,T714 DXY,450,2757,kolwezi
976,17-Nov,2350,INFINITY,6694,T458 EAG,450,2757,TFM
977,17-Nov,2351,GBP MOROGORO,6708,T598 DTB,20,2710,COMMUS
978,17-Nov,2352,LAKE TUNDUMA,6648,T703 DXY,100,2875,DAR
979,17-Nov,2352,LAKE TUNDUMA,6647,T663 EAQ,100,2875,DAR
980,17-Nov,2352,LAKE TUNDUMA,6652,T696 DXY,87.59,2875,DAR
981,17-Nov,2352,LAKE TUNDUMA,6661,T141 EFP,100,2875,DAR
982,17-Nov,2352,LAKE TUNDUMA,6836,T535 EGD,100,2875,DAR
983,17-Nov,2352,LAKE TUNDUMA,6837,T707 DXY,100,2875,DAR
984,17-Nov,2352,LAKE TUNDUMA,6818,T137 EFP,100,2875,DAR
985,17-Nov,2352,LAKE TUNDUMA,6838,T146 EFP,100,2875,DAR
986,17-Nov,2352,LAKE TUNDUMA,6649,T976 DVK,100,2875,DAR
987,17-Nov,2353,INFINITY,6648,T703 DXY,400,2875,DAR
988,17-Nov,2353,INFINITY,6647,T663 EAQ,400,2875,DAR
989,17-Nov,2353,INFINITY,6652,T696 DXY,400,2875,DAR
990,17-Nov,2353,INFINITY,6661,T141 EFP,400,2875,DAR
991,17-Nov,2353,INFINITY,6836,T535 EGD,400,2875,DAR
992,17-Nov,2353,INFINITY,6837,T707 DXY,400,2875,DAR
993,17-Nov,2353,INFINITY,6818,T137 EFP,400,2875,DAR
994,17-Nov,2353,INFINITY,6838,T146 EFP,400,2875,DAR
